"","road_ID","Y","X"
"65936",3107003,37.6078439,127.0299232
"66388",3107003,37.5924782,127.0143617
"68046",3107003,37.6053786,127.0256815
"19830",3005039,37.6115664,127.0299893
"21936",3005039,37.6115634,127.0297465
"22060",3005039,37.6100327,127.0298869
"22459",3005039,37.6098296,127.0298539
"23894",3005039,37.6364743,127.0244647
"23895",3005039,37.6283047,127.0257757
"23924",3005039,37.610726,127.0302611
"24759",3005039,37.6114998,127.029894
"24885",3005039,37.623484,127.0278731
"24896",3005039,37.6411925,127.0295646
"24897",3005039,37.6339004,127.0237735
"24902",3005039,37.6414747,127.0288711
"24976",3005039,37.6311703,127.0239816
"25407",3005039,37.6266209,127.0262729
"25904",3005039,37.6235676,127.0276727
"25912",3005039,37.6248385,127.0269539
"26045",3005039,37.6128103,127.0297085
"26378",3005039,37.6606541,127.0423063
"26478",3005039,37.6897931,127.0459016
"26701",3005039,37.6454469,127.0323378
"26844",3005039,37.6290659,127.0254737
"27686",3005039,37.6123532,127.0305649
"27932",3005039,37.613623,127.0294618
"28098",3005039,37.6546479,127.0398769
"28196",3005039,37.6259784,127.027056
"28216",3005039,37.6544144,127.0376741
"28313",3005039,37.6230063,127.0271536
"28324",3005039,37.6852833,127.0458245
"28353",3005039,37.6503535,127.036011
"28717",3005039,37.6747488,127.0442829
"28724",3005039,37.6633425,127.0418602
"28760",3005039,37.6634899,127.0417742
"28828",3005039,37.6461434,127.033521
"28931",3005039,37.6497974,127.0348494
"29024",3005039,37.6455235,127.032569
"29230",3005039,37.6738632,127.0441257
"29240",3005039,37.6618757,127.0434363
"29390",3005039,37.6581914,127.0410525
"29398",3005039,37.686964,127.0456632
"29438",3005039,37.67546,127.0440198
"29530",3005039,37.6579564,127.0405197
"29554",3005039,37.6676313,127.038473
"29603",3005039,37.6568822,127.0404446
"29706",3005039,37.6507166,127.0355235
"29766",3005039,37.6756687,127.0443326
"29829",3005039,37.6501939,127.0352453
"29868",3005039,37.6620743,127.0434451
"30021",3005039,37.650578,127.03618
"30072",3005039,37.6501675,127.0359019
"30086",3005039,37.683031,127.0456377
"30301",3005039,37.6851285,127.0462908
"30378",3005039,37.650935,127.0357797
"30449",3005039,37.6832357,127.0454362
"30501",3005039,37.6624085,127.0433174
"30605",3005039,37.6392737,127.0265866
"30639",3005039,37.6769631,127.0444492
"30686",3005039,37.6550158,127.0394588
"30778",3005039,37.6632724,127.0415091
"31198",3005039,37.6680342,127.0431389
"31569",3005039,37.650358,127.0354499
"31614",3005039,37.6578315,127.0397236
"31692",3005039,37.6570531,127.0403213
"32041",3005039,37.666992,127.043684
"32341",3005039,37.6555531,127.0398381
"33005",3005039,37.6908375,127.0458288
"6744",3000001,37.5361711,127.0601989
"6812",3000001,37.5551723,127.0706086
"6850",3000001,37.5546174,127.0708899
"6869",3000001,37.5361025,127.0599924
"7002",3000001,37.5548242,127.070908
"7113",3000001,37.5514464,127.0688998
"7146",3000001,37.5389327,127.0619087
"7545",3000001,37.5530706,127.0698981
"7654",3000001,37.5549248,127.0709557
"8443",3000001,37.5358915,127.0609313
"8636",3000001,37.5521162,127.0699472
"9623",3000001,37.5510752,127.0688493
"9852",3000001,37.5451229,127.0661321
"9993",3000001,37.5525638,127.0695569
"10010",3000001,37.5398244,127.0621081
"10014",3000001,37.5631864,127.0763258
"10209",3000001,37.5381207,127.0622011
"10212",3000001,37.568216,127.0789903
"10250",3000001,37.5464291,127.0664078
"10306",3000001,37.5376938,127.0619488
"10916",3000001,37.5506434,127.068598
"12771",3000001,37.5379226,127.0620722
"12885",3000001,37.5366703,127.0613096
"12925",3000001,37.5470426,127.067215
"12926",3000001,37.545367,127.066268
"14034",3000001,37.5472313,127.0673213
"14163",3000001,37.5464742,127.0667363
"14505",3000001,37.5474146,127.0674243
"14881",3000001,37.577093,127.0800385
"15030",3000001,37.5860681,127.0797216
"15303",3000001,37.5986649,127.0795964
"15553",3000001,37.5883437,127.079802
"16166",3000001,37.6026766,127.0787541
"16482",3000001,37.5837483,127.0793432
"16647",3000001,37.6028898,127.078774
"17126",3000001,37.5821889,127.0792748
"17463",3000001,37.598234,127.0797685
"17548",3000001,37.613269,127.0768204
"17549",3000001,37.6134663,127.0766317
"17550",3000001,37.6123426,127.0771787
"17583",3000001,37.5934394,127.0804372
"17732",3000001,37.6025098,127.0790427
"17935",3000001,37.6173445,127.077452
"18033",3000001,37.6132027,127.0775471
"18277",3000001,37.5944777,127.0780823
"18391",3000001,37.5766319,127.0795429
"18494",3000001,37.5855917,127.080288
"18495",3000001,37.5861009,127.0803722
"19073",3000001,37.5889336,127.0801806
"19115",3000001,37.6156724,127.0757779
